Product Name,Hex Color,Brand
Jumbo Eye Pencil,#634988,nyx
Jumbo Eye Pencil,#FCCAA7,nyx
Jumbo Eye Pencil,#F2A49A,nyx
Jumbo Eye Pencil,#F5B695,nyx
Jumbo Eye Pencil,#F7AF65,nyx
Jumbo Eye Pencil,#F59E57,nyx
Jumbo Eye Pencil,#CA8B62,nyx
Jumbo Eye Pencil,#D67552,nyx
Jumbo Eye Pencil,#A96E50,nyx
Jumbo Eye Pencil,#E1A686,nyx
Jumbo Eye Pencil,#E2E1DD,nyx
Jumbo Eye Pencil,#F5F6F1,nyx
Jumbo Eye Pencil,#BBC4C3,nyx
Jumbo Eye Pencil,#5C6063,nyx
Jumbo Eye Pencil,#645C59,nyx
Jumbo Eye Pencil,#613E28,nyx
Jumbo Eye Pencil,#2D2D2D,nyx
Strictly Vinyl Eyeliner,#2B3043,nyx
Strictly Vinyl Eyeliner,#424146,nyx
